number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,params_use_l2,user_attrs_architecture,user_attrs_test_deviance,state
26,0.3259800374507904,2026-03-20 09:39:06.761523,2026-03-20 09:40:01.460623,0 days 00:00:54.699100,tanh,100000,0.023977171949271736,3,240,0.00039118694189485206,6,0.7738152444794142,True,,,PRUNED
27,0.2835198938846588,2026-03-20 09:40:01.461705,2026-03-20 09:40:24.175227,0 days 00:00:22.713522,selu,10000,0.07277248328462767,3,288,0.00017096507389809074,5,0.690618819064832,False,,,PRUNED
28,0.28363993763923645,2026-03-20 09:40:24.176531,2026-03-20 09:40:49.867531,0 days 00:00:25.691000,selu,10000,0.09684666482419875,2,320,0.00013614027863096748,7,0.7057644099413914,False,,,PRUNED
29,0.28456205129623413,2026-03-20 09:40:49.868641,2026-03-20 09:41:14.102972,0 days 00:00:24.234331,selu,10000,0.05955825793008045,3,272,0.0014307075780345872,6,0.49823103344664793,True,,,PRUNED
30,0.27027604710350006,2026-03-20 09:41:14.104272,2026-03-20 09:41:47.327267,0 days 00:00:33.222995,selu,10000,0.017576568595262847,3,304,0.005527856941891052,7,0.6290361549543989,False,"[304, 191, 120, 75, 47, 29, 18]",0.27027604710350006,COMPLETE
31,0.2693830954755554,2026-03-20 09:41:47.328395,2026-03-20 09:42:26.162859,0 days 00:00:38.834464,selu,10000,0.04044647008773401,4,304,0.002273133665616686,4,0.8641871441171103,False,"[304, 262, 227, 196]",0.2693830954755554,COMPLETE
32,0.26943972141919126,2026-03-20 09:42:26.164003,2026-03-20 09:43:07.981025,0 days 00:00:41.817022,selu,10000,0.050801324048643196,3,256,0.0013124143012211197,5,0.915224440357807,False,"[256, 234, 214, 196, 179]",0.26943972141919126,COMPLETE
33,0.28097933530807495,2026-03-20 09:43:07.982252,2026-03-20 09:43:37.196269,0 days 00:00:29.214017,tanh,10000,0.01584474013073966,4,176,0.0007324371843158577,3,0.7722091724242885,False,,,PRUNED
34,0.2793404161930084,2026-03-20 09:43:37.197409,2026-03-20 09:43:56.904583,0 days 00:00:19.707174,selu,10000,0.11305138554345012,2,272,0.015877688251926945,4,0.8311687332288045,False,,,PRUNED
35,0.28650641441345215,2026-03-20 09:43:56.905710,2026-03-20 09:44:31.220485,0 days 00:00:34.314775,tanh,10000,0.06675803277278626,3,48,0.005030860054765606,5,0.9482969505342091,True,,,PRUNED
36,0.27860182523727417,2026-03-20 09:44:31.221612,2026-03-20 09:44:51.596060,0 days 00:00:20.374448,selu,10000,0.08731628471826064,4,240,0.0011818789477314661,4,0.6006532988286658,False,,,PRUNED
37,0.31517961621284485,2026-03-20 09:44:51.597176,2026-03-20 09:45:08.917041,0 days 00:00:17.319865,selu,100000,0.12668447718998513,2,304,0.00036441154028676013,3,0.7216774133626097,True,,,PRUNED
38,0.2707358409634295,2026-03-20 09:45:08.918169,2026-03-20 09:46:20.705893,0 days 00:01:11.787724,tanh,10000,0.035953783134212304,3,288,0.002480883698796941,5,0.7676640901728844,False,"[288, 221, 169, 130, 100]",0.2707358409634295,COMPLETE
39,0.2824186682701111,2026-03-20 09:46:20.707352,2026-03-20 09:46:42.830890,0 days 00:00:22.123538,selu,100000,0.04851841163096549,3,240,0.01026210486440454,6,0.6591973864580816,False,,,PRUNED
